ChangeID,EmployeeID,ChangeDate,OldSalary,NewSalary,Reason
COMP-1,PNR-1002,28-02-2025,65552,74073,Promotion
COMP-2,PNR-1002,31-01-2026,74073,79258,Merit
COMP-3,PNR-1003,01-11-2019,85684,93395,Merit
COMP-4,PNR-1003,12-10-2020,93395,103668,Promotion
COMP-5,PNR-1003,23-09-2021,103668,116108,Merit
COMP-6,PNR-1005,05-06-2019,58907,63619,Merit
COMP-7,PNR-1005,08-07-2020,63619,72525,Merit
COMP-8,PNR-1005,11-07-2021,72525,78327,Promotion
COMP-9,PNR-1006,02-03-2024,130549,148825,Merit
COMP-10,PNR-1006,16-02-2025,148825,165195,Promotion
COMP-11,PNR-1007,30-07-2024,121692,128993,Merit
COMP-12,PNR-1007,28-05-2025,128993,147052,Promotion
COMP-13,PNR-1007,26-03-2026,147052,155875,Promotion
COMP-14,PNR-1008,11-02-2023,65504,70744,Promotion
COMP-15,PNR-1008,04-02-2024,70744,78525,Merit
COMP-16,PNR-1008,26-12-2024,78525,89518,Promotion
COMP-17,PNR-1009,16-07-2022,120127,135743,Promotion
COMP-18,PNR-1009,27-06-2023,135743,143887,Merit
COMP-19,PNR-1009,01-06-2024,143887,162592,Promotion
COMP-20,PNR-1010,23-05-2022,139807,149593,Promotion
COMP-21,PNR-1010,22-04-2023,149593,158568,Merit
COMP-22,PNR-1010,21-02-2024,158568,176010,Promotion
COMP-23,PNR-1011,16-06-2023,120082,128487,Promotion
COMP-24,PNR-1011,14-04-2024,128487,138765,Merit
COMP-25,PNR-1011,01-05-2025,138765,148478,Merit
COMP-26,PNR-1011,07-04-2026,148478,158871,Promotion
COMP-27,PNR-1012,09-08-2020,106840,121797,Promotion
COMP-28,PNR-1012,05-09-2021,121797,137630,Merit
COMP-29,PNR-1013,25-06-2020,50027,57030,Merit
COMP-30,PNR-1013,05-06-2021,57030,65014,Merit
COMP-31,PNR-1015,15-05-2024,63480,67288,Merit
COMP-32,PNR-1015,12-06-2025,67288,74016,Promotion
COMP-33,PNR-1015,04-06-2026,74016,78456,Merit
COMP-34,PNR-1016,18-06-2026,57201,62921,Promotion
COMP-35,PNR-1017,31-05-2026,53573,58930,Merit
COMP-36,PNR-1018,25-08-2020,53440,57180,Promotion
COMP-37,PNR-1018,12-08-2021,57180,64041,Promotion
COMP-38,PNR-1018,30-06-2022,64041,73647,Merit
COMP-39,PNR-1020,09-10-2023,58432,64859,Promotion
COMP-40,PNR-1020,15-08-2024,64859,71993,Merit
COMP-41,PNR-1020,16-09-2025,71993,79912,Promotion
COMP-42,PNR-1021,19-07-2019,117631,134099,Promotion
COMP-43,PNR-1021,14-06-2020,134099,144826,Merit
COMP-44,PNR-1021,05-07-2021,144826,160756,Promotion
COMP-45,PNR-1022,27-03-2019,118436,135017,Merit
COMP-46,PNR-1022,09-03-2020,135017,143118,Promotion
COMP-47,PNR-1022,27-01-2021,143118,151705,Merit
COMP-48,PNR-1023,21-01-2026,143764,156702,Promotion
COMP-49,PNR-1024,25-09-2022,102653,115997,Promotion
COMP-50,PNR-1024,02-08-2023,115997,126436,Promotion
COMP-51,PNR-1024,26-06-2024,126436,140343,Promotion
COMP-52,PNR-1025,15-11-2025,48432,54243,Promotion
COMP-53,PNR-1026,20-12-2021,45533,49175,Promotion
COMP-54,PNR-1026,12-11-2022,49175,56059,Promotion
COMP-55,PNR-1026,18-11-2023,56059,63346,Merit
COMP-56,PNR-1027,20-01-2025,65103,69660,Merit
COMP-57,PNR-1027,08-01-2026,69660,79412,Merit
COMP-58,PNR-1028,28-07-2019,63880,68351,Merit
COMP-59,PNR-1028,09-07-2020,68351,77920,Merit
COMP-60,PNR-1028,07-05-2021,77920,83374,Promotion
COMP-61,PNR-1029,30-04-2019,94430,105761,Merit
COMP-62,PNR-1029,06-03-2020,105761,113164,Promotion
COMP-63,PNR-1029,26-03-2021,113164,125612,Promotion
COMP-64,PNR-1031,09-07-2023,51555,59288,Merit
COMP-65,PNR-1031,24-05-2024,59288,67588,Promotion
COMP-66,PNR-1032,02-01-2022,59092,66183,Merit
COMP-67,PNR-1032,28-01-2023,66183,70815,Promotion
COMP-68,PNR-1032,08-01-2024,70815,75772,Merit
COMP-69,PNR-1033,13-10-2020,46286,53228,Promotion
COMP-70,PNR-1033,29-08-2021,53228,56421,Merit
COMP-71,PNR-1033,11-07-2022,56421,64319,Merit
COMP-72,PNR-1034,02-02-2020,128638,137642,Merit
COMP-73,PNR-1034,12-12-2020,137642,145900,Merit
COMP-74,PNR-1034,09-01-2022,145900,164866,Merit
COMP-75,PNR-1035,17-12-2022,61512,65202,Promotion
COMP-76,PNR-1035,02-01-2024,65202,70418,Merit
COMP-77,PNR-1035,21-01-2025,70418,76755,Merit
COMP-78,PNR-1035,16-01-2026,76755,81360,Merit
COMP-79,PNR-1036,04-11-2021,50355,54383,Promotion
COMP-80,PNR-1036,03-11-2022,54383,59277,Merit
COMP-81,PNR-1036,13-10-2023,59277,62833,Promotion
COMP-82,PNR-1036,25-08-2024,62833,71001,Promotion
COMP-83,PNR-1037,21-08-2025,67900,72653,Merit
COMP-84,PNR-1038,02-03-2026,63751,70126,Promotion
COMP-85,PNR-1039,05-09-2021,59138,64460,Promotion
COMP-86,PNR-1039,02-07-2022,64460,71550,Promotion
COMP-87,PNR-1039,28-04-2023,71550,77274,Merit
COMP-88,PNR-1040,07-03-2020,49063,55931,Merit
COMP-89,PNR-1040,25-03-2021,55931,61524,Promotion
COMP-90,PNR-1041,13-03-2020,107575,117256,Merit
COMP-91,PNR-1041,29-01-2021,117256,125463,Promotion
